,Player Id,Name,Position,5Year,Completion Percentage,First Down Receptions,First Year,Fumbles,Games Played,HOF,Int Rate,Ints,Last Year,Longest Pass,Longest Reception,Longest Rushing Run,Pass Attempts Per Game,Passer Rating,Passes Attempted,Passes Completed,Passes Longer than 20 Yards,Passes Longer than 40 Yards,Passing Yards Per Attempt,Passing Yards Per Game,Passing Yards adj,Percentage of Rushing First Downs,Percentage of TDs per Attempts,Receiving TDs adj,Receiving Yards Per Game,Receiving Yards adj,Receptions,Receptions Longer than 20 Yards,Receptions Longer than 40 Yards,Rushing Attempts,Rushing Attempts Per Game,Rushing First Downs,Rushing More Than 20 Yards,Rushing More Than 40 Yards,Rushing TDs adj,Rushing Yards Per Game,Rushing Yards adj,SB Loss,SB Win,Sacked Yards Lost,Sacks,Seasons,TD Passes adj,Yards Per Carry,Yards Per Reception,Year,MVP,SB MVP,GWD,PGWD
0,'omarellison/2500540,"Ellison, 'Omar",2,1995,0.0,3.0,1995,0.0,12.0,0,0.0,0.0,1996,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.33528208126208,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1996.0,0.0,0.0,0.0,0.0
1,a.j.derby/2552580,"Derby, A.J.",2,2015,0.0,7.0,2016,1.0,10.0,0,0.0,0.0,2016,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.17690875233203,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2016.0,0.0,0.0,0.0,0.0
2,a.j.feeley/2504566,"Feeley, A.J.",0,2005,0.5577427821522309,0.0,2001,5.0,28.0,0,0.04068241469816273,31.0,2011,288.0,0.0,29.0,0.0,69.11089238845143,762.0,425.0,48.0,5.0,6.060367454068241,0.0,5182.296501030676,0.0,0.03674540682414698,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,5.0,0.0,0.0,1.0,0.0,49.0,0.0,0.0,276.0,44.0,6.0,34.584867075665564,0.0,0.0,2005.0,0.0,0.0,5.0,0.0
3,a.j.green/2495450,"Green, A.J.",2,2010,0.0,319.0,2011,8.0,86.0,0,0.0,0.0,2016,0.0,428.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,7135.0,481.0,100.0,37.0,11.0,0.0,5.0,2.0,0.0,0.0,0.0,102.01697940703087,0.0,0.0,0.0,0.0,6.0,0.0,0.0,14.833679833679835,2014.0,0.0,0.0,0.0,0.0
4,a.j.jenkins/2532876,"Jenkins, A.J.",2,2010,0.0,9.0,2012,1.0,28.0,0,0.0,0.0,2014,0.0,75.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,17.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.387827071270145,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2013.0,0.0,0.0,0.0,0.0
5,a.j.ofodile/2502342,"Ofodile, A.J.",2,1995,0.0,0.0,1997,0.0,24.0,0,0.0,0.0,1999,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.97057390626438,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1998.0,0.0,0.0,0.0,0.0
6,a.j.schable/2506734,"Schable, A.J.",1,2005,0.0,0.0,2006,0.0,11.0,0,0.0,0.0,2006,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2006.0,0.0,0.0,0.0,0.0
7,aaronbailey/2499487,"Bailey, Aaron",2,1995,0.0,48.0,1994,1.0,64.0,0,0.0,0.0,1998,0.0,130.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.179104477612002,0.0,1205.1758745005982,67.0,14.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,56.944879253338726,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1996.0,0.0,0.0,0.0,0.0
8,aaronburbridge/2555362,"Burbridge, Aaron",2,2015,0.0,5.0,2016,0.0,16.0,0,0.0,0.0,2016,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.44729981378262,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2016.0,0.0,0.0,0.0,0.0
9,aarondobson/2539256,"Dobson, Aaron",2,2010,0.0,36.0,2013,1.0,24.0,0,0.0,0.0,2015,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,698.0,53.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2014.0,0.0,0.0,0.0,0.0
